欢迎	VV
继续	VV
收听	VV
美国	NR
之	DEG
音	NN
的	DEG
《	PU
时事	NN
经纬	NN
》	PU
。	PU

接下来	AD
是	VC
来自	VV
中东	NR
地区	NN
的	DEC
消息	NN
。	PU

当地	NN
局势	NN
在	P
一	CD
名	M
犹太	NN
定居者	NN
遭到	VV
枪杀	NN
之后	LC
，	PU
再度	AD
陷入	VV
紧张	NN
。	PU

除了	P
使得	VV
以	NR
、	PU
巴	NR
双方	PN
为了	P
和平	NN
所	MSP
做出	VV
的	DEC
努力	NN
再次	AD
严重	AD
受挫	VV
之外	LC
，	PU
加沙	NR
地带	NN
也	AD
已经	AD
陷入	VV
了	AS
以色列	NR
军队	NN
的	DEG
全面	JJ
封锁	NN
。	PU

详细	JJ
内容	NN
下面	NN
是	VC
美国	NR
之	DEG
音	NN
特约	JJ
记者	NN
肖文	NR
从	P
特拉维夫	NR
发来	VV
的	DEC
报道	NN
。	PU

星期一	NT
，	PU
一	CD
名	M
在	P
加沙	NR
的	DEG
犹太	NN
定居者	NN
被	SB
发现	VV
枪杀	VV
，	PU
以色列	NR
军方	NN
全面	AD
封锁	VV
了	AS
加沙	NR
地带	NN
。	PU

原定	VV
于	P
星期一	NT
下午	NT
，	PU
以色列	NR
外长	NN
本阿米	NR
与	CC
巴解	NR
高级	JJ
官员	NN
的	DEG
会晤	NN
也	AD
同时	AD
取消	VV
。	PU

此	DT
次	M
枪杀	NN
事件	NN
，	PU
是	VC
巴	NR
、	PU
以	NR
在	P
上	DT
星期	NN
安全	NN
合作	NN
取得	VV
初步	JJ
进展	NN
后	LC
第一	OD
起	M
以色列	NR
人员	NN
死亡	VV
报道	NN
。	PU

以色列	NR
军方	NN
自	P
星期一	NT
起	LC
，	PU
已经	AD
把	BA
加沙	NR
削为	VV
三	CD
个	M
互	AD
不	AD
相连	VV
的	DEC
地段	NN
，	PU
全面	AD
封锁	VV
了	AS
所有	DT
的	DEG
主要	JJ
道路	NN
，	PU
关闭	VV
了	AS
通往	VV
埃及	NR
的	DEC
边境站	NN
和	CC
加沙	NR
国际	NN
机场	NN
。	PU

据悉	AD
，	PU
在	P
近	AD
４	CD
个	M
月	NN
的	DEG
巴	NR
、	PU
以	NR
血腥	JJ
冲突	NN
中	LC
，	PU
加沙	NR
地带	NN
的	DEG
经济	NN
在	P
以色列	NR
军方	NN
的	DEG
封锁	NN
后	LC
，	PU
陷入	VV
崩溃	NN
。	PU

有	VE
半数	CD
以上	LC
的	DEG
巴勒斯坦人	NN
每	DT
天	M
的	DEG
生活费	NN
降至	VV
２	CD
美元	M
以下	LC
。	PU

巴解	NR
方面	NN
重申	VV
，	PU
以色列	NR
方面	NN
以	P
个别	JJ
的	DEG
冲突	NN
事件	NN
为	VC
理由	NN
，	PU
惩罚	VV
整个	DT
巴勒斯坦	NR
人民	NN
，	PU
是	VC
不	AD
符合	VV
最	AD
基本	JJ
的	DEG
国际	NN
人道主义	NN
准则	NN
的	SP
。	PU

现在	NT
离	P
以色列	NR
总理	NN
大选	NN
只	AD
有	VE
３	CD
个	M
星期	NN
的	DEG
时间	NN
，	PU
目前	NT
的	DEG
形势	NN
使	VC
为	P
和平	NN
所	MSP
做出	VV
的	DEC
努力	NN
再次	AD
严重	AD
受挫	VV
。	PU

在	P
以色列	NR
选举史	NN
上	LC
